Years,Japan,Philippines
1971,1.2,5.279
1972,1.4,5.356
1973,1.3,4.773
1974,1.4,3.206
1975,1.9,3.832
1976,2,4.802
1977,2,4.474
1978,2.2,3.999
1979,2.1,3.498
1980,2,4.753
1981,2.2,5.362
1982,2.4,5.503
1983,2.6,4.892
1984,2.7,7.032
1985,2.6,6.071
1986,2.8,6.43
1987,2.8,9.1
1988,2.5,8.341
1989,2.3,8.421
1990,2.1,8.127
1991,2.1,8.985
1992,2.2,8.64
1993,2.5,8.868
1994,2.9,8.432
1995,3.2,8.36
1996,3.4,7.411
1997,3.4,7.854
1998,4.1,9.378
1999,4.7,9.428
2001,5.02,3.698
2002,5.386,10.724
2003,5.251,3.527
2004,4.734,3.554
2005,4.446,3.795
2006,4.192,4.052
2007,3.888,3.434
2008,4.002,3.72
2009,5.068,3.858
2010,5.102,3.605
2011,4.55,3.592
2012,4.358,3.504
2013,4.038,3.497
2014,3.589,3.6
2015,3.385,3.068
2016,3.132,2.695
2017,2.822,2.552
2018,2.467,2.338
2019,2.351,2.237
2020,2.809,2.522
2021,2.808,3.398
2022,2.614,2.598
2023,2.6,2.409
